   x        Cpi      Cpv        Qi        Qv
 1.0000    0.523     0.279     0.692     0.850
 0.9952    0.334     0.259     0.817     0.861
 0.9874    0.281     0.232     0.848     0.877
 0.9789    0.245     0.210     0.870     0.889
 0.9699    0.219     0.191     0.885     0.900
 0.9607    0.198     0.174     0.896     0.909
 0.9513    0.180     0.160     0.906     0.917
 0.9418    0.165     0.147     0.914     0.924
 0.9322    0.152     0.135     0.921     0.930
 0.9226    0.140     0.125     0.928     0.936
 0.9130    0.128     0.116     0.934     0.941
 0.9033    0.118     0.107     0.939     0.945
 0.8937    0.108     0.098     0.945     0.950
 0.8840    0.099     0.091     0.949     0.954
 0.8743    0.090     0.084     0.954     0.957
 0.8647    0.082     0.077     0.958     0.961
 0.8550    0.074     0.071     0.963     0.964
 0.8453    0.066     0.065     0.967     0.967
 0.8357    0.058     0.059     0.971     0.970
 0.8260    0.050     0.054     0.975     0.973
 0.8163    0.043     0.050     0.978     0.975
 0.8067    0.035     0.046     0.982     0.977
 0.7970    0.028     0.042     0.986     0.979
 0.7873    0.020     0.037     0.990     0.981
 0.7777    0.012     0.029     0.994     0.985
 0.7680    0.004     0.014     0.998     0.993
 0.7583   -0.005    -0.017     1.002     1.009
 0.7487   -0.013    -0.065     1.007     1.032
 0.7390   -0.023    -0.097     1.011     1.047
 0.7294   -0.032    -0.101     1.016     1.049
 0.7197   -0.042    -0.105     1.021     1.051
 0.7101   -0.052    -0.109     1.026     1.053
 0.7005   -0.062    -0.113     1.030     1.055
 0.6909   -0.071    -0.118     1.035     1.057
 0.6813   -0.081    -0.122     1.039     1.059
 0.6717   -0.090    -0.127     1.044     1.061
 0.6621   -0.099    -0.131     1.048     1.063
 0.6525   -0.108    -0.136     1.052     1.066
 0.6429   -0.117    -0.142     1.056     1.068
 0.6334   -0.125    -0.147     1.060     1.071
 0.6238   -0.134    -0.153     1.064     1.073
 0.6142   -0.142    -0.159     1.068     1.076
 0.6046   -0.151    -0.166     1.072     1.079
 0.5951   -0.159    -0.173     1.076     1.083
 0.5855   -0.166    -0.180     1.080     1.086
 0.5759   -0.174    -0.187     1.083     1.089
 0.5663   -0.182    -0.194     1.087     1.092
 0.5568   -0.189    -0.201     1.090     1.095
 0.5472   -0.197    -0.208     1.093     1.099
 0.5376   -0.204    -0.216     1.097     1.102
 0.5281   -0.212    -0.223     1.100     1.105
 0.5185   -0.219    -0.230     1.104     1.108
 0.5090   -0.226    -0.237     1.107     1.112
 0.4994   -0.233    -0.244     1.110     1.115
 0.4899   -0.240    -0.250     1.113     1.118
 0.4803   -0.246    -0.257     1.116     1.120
 0.4708   -0.252    -0.263     1.118     1.123
 0.4613   -0.258    -0.269     1.121     1.126
 0.4518   -0.264    -0.274     1.123     1.128
 0.4423   -0.269    -0.279     1.126     1.130
 0.4328   -0.274    -0.283     1.128     1.132
 0.4233   -0.278    -0.287     1.130     1.134
 0.4138   -0.281    -0.289     1.131     1.135
 0.4044   -0.282    -0.290     1.132     1.135
 0.3949   -0.281    -0.289     1.131     1.135
 0.3855   -0.278    -0.286     1.130     1.133
 0.3760   -0.273    -0.282     1.128     1.131
 0.3665   -0.267    -0.277     1.125     1.129
 0.3570   -0.261    -0.271     1.122     1.127
 0.3475   -0.254    -0.264     1.119     1.124
 0.3380   -0.247    -0.258     1.116     1.121
 0.3285   -0.240    -0.251     1.113     1.118
 0.3190   -0.232    -0.244     1.109     1.115
 0.3095   -0.225    -0.237     1.106     1.111
 0.2999   -0.217    -0.229     1.103     1.108
 0.2904   -0.209    -0.222     1.099     1.105
 0.2809   -0.201    -0.214     1.095     1.101
 0.2714   -0.193    -0.206     1.092     1.098
 0.2619   -0.185    -0.198     1.088     1.094
 0.2524   -0.176    -0.189     1.084     1.090
 0.2429   -0.167    -0.180     1.080     1.086
 0.2334   -0.158    -0.171     1.076     1.082
 0.2240   -0.148    -0.162     1.071     1.077
 0.2145   -0.138    -0.152     1.066     1.073
 0.2051   -0.127    -0.141     1.061     1.068
 0.1957   -0.116    -0.130     1.056     1.063
 0.1863   -0.103    -0.118     1.050     1.057
 0.1769   -0.090    -0.104     1.044     1.051
 0.1675   -0.076    -0.091     1.037     1.044
 0.1582   -0.061    -0.076     1.030     1.037
 0.1489   -0.046    -0.061     1.022     1.030
 0.1397   -0.030    -0.045     1.015     1.022
 0.1304   -0.012    -0.028     1.006     1.014
 0.1213    0.006    -0.009     0.997     1.005
 0.1122    0.028     0.012     0.986     0.994
 0.1032    0.051     0.035     0.974     0.983
 0.0943    0.077     0.061     0.961     0.969
 0.0856    0.106     0.089     0.946     0.955
 0.0770    0.137     0.119     0.929     0.939
 0.0687    0.170     0.151     0.912     0.922
 0.0607    0.204     0.186     0.892     0.903
 0.0533    0.244     0.225     0.870     0.881
 0.0463    0.285     0.265     0.846     0.858
 0.0401    0.329     0.309     0.820     0.832
 0.0345    0.378     0.357     0.790     0.802
 0.0296    0.430     0.409     0.756     0.770
 0.0253    0.483     0.462     0.720     0.735
 0.0216    0.535     0.513     0.684     0.699
 0.0183    0.588     0.567     0.643     0.660
 0.0155    0.644     0.623     0.599     0.616
 0.0130    0.701     0.680     0.549     0.568
 0.0109    0.756     0.736     0.497     0.516
 0.0090    0.810     0.792     0.438     0.459
 0.0073    0.862     0.845     0.374     0.397
 0.0059    0.910     0.895     0.304     0.328
 0.0046    0.955     0.943     0.219     0.245
 0.0036    0.987     0.980     0.123     0.150
 0.0027    1.002     1.000     0.022     0.050
 0.0020    0.996     1.000    -0.080    -0.051
 0.0015    0.970     0.980    -0.180    -0.150
 0.0010    0.925     0.941    -0.279    -0.248
 0.0007    0.860     0.883    -0.377    -0.345
 0.0004    0.779     0.809    -0.472    -0.440
 0.0002    0.687     0.720    -0.562    -0.531
 0.0000    0.462     0.532    -0.734    -0.685
 0.0000    0.266     0.341    -0.858    -0.812
 0.0002    0.228     0.277    -0.879    -0.851
 0.0004    0.206     0.243    -0.891    -0.871
 0.0007    0.064     0.130    -0.968    -0.933
 0.0011   -0.146    -0.061    -1.070    -1.030
 0.0015   -0.330    -0.249    -1.153    -1.117
 0.0021   -0.503    -0.419    -1.225    -1.190
 0.0028   -0.693    -0.598    -1.299    -1.262
 0.0037   -0.869    -0.767    -1.365    -1.327
 0.0047   -0.993    -0.891    -1.409    -1.373
 0.0060   -1.024    -0.939    -1.420    -1.390
 0.0074   -0.992    -0.933    -1.409    -1.388
 0.0091   -0.990    -0.928    -1.408    -1.386
 0.0110   -0.985    -0.925    -1.406    -1.385
 0.0132   -0.979    -0.923    -1.404    -1.384
 0.0156   -0.976    -0.920    -1.403    -1.383
 0.0185   -0.962    -0.911    -1.398    -1.380
 0.0217   -0.940    -0.896    -1.390    -1.375
 0.0254   -0.913    -0.876    -1.381    -1.367
 0.0297   -0.900    -0.862    -1.376    -1.362
 0.0346   -0.885    -0.848    -1.370    -1.357
 0.0401   -0.866    -0.832    -1.364    -1.351
 0.0464   -0.841    -0.812    -1.355    -1.344
 0.0533   -0.818    -0.792    -1.346    -1.337
 0.0608   -0.800    -0.775    -1.340    -1.330
 0.0687   -0.783    -0.760    -1.333    -1.325
 0.0770   -0.768    -0.747    -1.328    -1.320
 0.0856   -0.759    -0.737    -1.324    -1.316
 0.0943   -0.752    -0.730    -1.322    -1.313
 0.1032   -0.744    -0.723    -1.319    -1.311
 0.1122   -0.737    -0.717    -1.316    -1.308
 0.1213   -0.730    -0.710    -1.313    -1.306
 0.1305   -0.723    -0.704    -1.311    -1.304
 0.1397   -0.716    -0.698    -1.308    -1.301
 0.1489   -0.709    -0.692    -1.306    -1.299
 0.1582   -0.704    -0.687    -1.303    -1.297
 0.1675   -0.700    -0.683    -1.302    -1.296
 0.1769   -0.696    -0.680    -1.301    -1.294
 0.1863   -0.693    -0.676    -1.299    -1.293
 0.1957   -0.689    -0.673    -1.298    -1.292
 0.2051   -0.686    -0.670    -1.297    -1.290
 0.2145   -0.682    -0.666    -1.295    -1.289
 0.2240   -0.679    -0.663    -1.294    -1.288
 0.2334   -0.675    -0.660    -1.293    -1.287
 0.2429   -0.672    -0.657    -1.291    -1.286
 0.2524   -0.669    -0.654    -1.290    -1.284
 0.2619   -0.667    -0.652    -1.289    -1.283
 0.2714   -0.664    -0.649    -1.288    -1.283
 0.2809   -0.662    -0.647    -1.288    -1.282
 0.2904   -0.660    -0.645    -1.287    -1.281
 0.2999   -0.658    -0.643    -1.286    -1.280
 0.3095   -0.657    -0.641    -1.286    -1.279
 0.3190   -0.656    -0.639    -1.285    -1.279
 0.3285   -0.655    -0.638    -1.285    -1.278
 0.3380   -0.654    -0.636    -1.284    -1.277
 0.3475   -0.653    -0.634    -1.284    -1.277
 0.3570   -0.652    -0.632    -1.283    -1.276
 0.3665   -0.650    -0.630    -1.283    -1.275
 0.3760   -0.649    -0.627    -1.282    -1.274
 0.3855   -0.646    -0.623    -1.281    -1.272
 0.3949   -0.642    -0.618    -1.280    -1.270
 0.4044   -0.635    -0.611    -1.277    -1.268
 0.4138   -0.625    -0.602    -1.273    -1.264
 0.4233   -0.613    -0.592    -1.268    -1.260
 0.4328   -0.600    -0.582    -1.263    -1.256
 0.4423   -0.586    -0.571    -1.258    -1.252
 0.4518   -0.573    -0.560    -1.253    -1.248
 0.4613   -0.559    -0.550    -1.247    -1.243
 0.4708   -0.545    -0.540    -1.242    -1.240
 0.4803   -0.531    -0.531    -1.236    -1.236
 0.4899   -0.517    -0.522    -1.230    -1.232
 0.4994   -0.503    -0.514    -1.225    -1.229
 0.5090   -0.489    -0.507    -1.219    -1.226
 0.5185   -0.474    -0.500    -1.213    -1.223
 0.5281   -0.460    -0.493    -1.207    -1.221
 0.5376   -0.445    -0.487    -1.201    -1.218
 0.5472   -0.431    -0.481    -1.195    -1.216
