   x        Cpi      Cpv        Qi        Qv
 1.0000    0.556    -0.104     0.668     1.050
 0.9961    0.366    -0.105     0.797     1.051
 0.9897    0.303    -0.106     0.836     1.052
 0.9828    0.255    -0.108     0.864     1.052
 0.9756    0.218    -0.110     0.885     1.053
 0.9680    0.187    -0.112     0.902     1.054
 0.9602    0.159    -0.114     0.918     1.055
 0.9523    0.133    -0.117     0.932     1.056
 0.9442    0.109    -0.119     0.944     1.057
 0.9360    0.087    -0.121     0.956     1.059
 0.9278    0.066    -0.123     0.967     1.060
 0.9196    0.046    -0.126     0.977     1.061
 0.9113    0.027    -0.128     0.986     1.062
 0.9030    0.008    -0.130     0.996     1.063
 0.8947   -0.010    -0.132     1.005     1.064
 0.8865   -0.027    -0.135     1.013     1.065
 0.8782   -0.044    -0.137     1.022     1.066
 0.8699   -0.061    -0.139     1.030     1.067
 0.8616   -0.078    -0.142     1.038     1.068
 0.8533   -0.095    -0.144     1.046     1.069
 0.8450   -0.111    -0.146     1.054     1.070
 0.8367   -0.127    -0.149     1.062     1.071
 0.8283   -0.144    -0.151     1.069     1.073
 0.8200   -0.160    -0.153     1.077     1.074
 0.8117   -0.177    -0.156     1.084     1.075
 0.8034   -0.193    -0.158     1.092     1.076
 0.7951   -0.210    -0.160     1.099     1.077
 0.7868   -0.227    -0.163     1.107     1.078
 0.7785   -0.244    -0.165     1.115     1.079
 0.7702   -0.262    -0.167     1.123     1.080
 0.7619   -0.280    -0.170     1.131     1.081
 0.7537   -0.298    -0.172     1.139     1.082
 0.7454   -0.317    -0.174     1.147     1.083
 0.7371   -0.337    -0.177     1.156     1.084
 0.7288   -0.358    -0.179     1.164     1.085
 0.7206   -0.378    -0.181     1.173     1.086
 0.7123   -0.399    -0.183     1.182     1.087
 0.7041   -0.420    -0.185     1.191     1.088
 0.6958   -0.441    -0.187     1.199     1.089
 0.6876   -0.463    -0.189     1.208     1.090
 0.6794   -0.484    -0.191     1.217     1.091
 0.6712   -0.506    -0.193     1.226     1.092
 0.6629   -0.527    -0.194     1.234     1.092
 0.6547   -0.549    -0.194     1.243     1.092
 0.6465   -0.571    -0.194     1.252     1.092
 0.6383   -0.593    -0.194     1.261     1.092
 0.6301   -0.615    -0.193     1.269     1.092
 0.6219   -0.637    -0.198     1.278     1.094
 0.6137   -0.660    -0.204     1.287     1.097
 0.6055   -0.683    -0.212     1.295     1.100
 0.5973   -0.706    -0.221     1.304     1.104
 0.5892   -0.729    -0.232     1.313     1.109
 0.5810   -0.752    -0.244     1.322     1.115
 0.5728   -0.776    -0.258     1.330     1.121
 0.5646   -0.799    -0.274     1.339     1.128
 0.5564   -0.823    -0.291     1.348     1.135
 0.5482   -0.848    -0.309     1.357     1.143
 0.5401   -0.873    -0.329     1.366     1.152
 0.5319   -0.899    -0.350     1.376     1.161
 0.5237   -0.925    -0.372     1.385     1.170
 0.5156   -0.951    -0.395     1.394     1.180
 0.5074   -0.978    -0.419     1.404     1.190
 0.4993   -1.005    -0.445     1.413     1.201
 0.4911   -1.032    -0.471     1.423     1.211
 0.4830   -1.059    -0.497     1.432     1.222
 0.4748   -1.086    -0.525     1.442     1.233
 0.4667   -1.114    -0.552     1.451     1.245
 0.4586   -1.143    -0.581     1.461     1.256
