   x        Cpi      Cpv        Qi        Qv
 1.0000    0.567    -0.222     0.660     1.105
 0.9961    0.378    -0.223     0.789     1.105
 0.9897    0.315    -0.224     0.828     1.106
 0.9828    0.267    -0.226     0.857     1.107
 0.9756    0.228    -0.228     0.879     1.107
 0.9680    0.196    -0.230     0.897     1.108
 0.9602    0.166    -0.232     0.913     1.109
 0.9523    0.140    -0.234     0.928     1.110
 0.9442    0.115    -0.236     0.941     1.111
 0.9360    0.091    -0.238     0.953     1.112
 0.9278    0.069    -0.240     0.965     1.113
 0.9196    0.048    -0.242     0.976     1.114
 0.9113    0.028    -0.244     0.986     1.115
 0.9030    0.008    -0.247     0.996     1.116
 0.8947   -0.011    -0.249     1.005     1.117
 0.8865   -0.030    -0.251     1.015     1.118
 0.8782   -0.048    -0.253     1.024     1.119
 0.8699   -0.066    -0.256     1.032     1.120
 0.8616   -0.084    -0.258     1.041     1.121
 0.8533   -0.102    -0.260     1.049     1.122
 0.8450   -0.120    -0.262     1.058     1.123
 0.8367   -0.137    -0.265     1.066     1.124
 0.8283   -0.155    -0.267     1.074     1.125
 0.8200   -0.172    -0.269     1.082     1.126
 0.8117   -0.190    -0.272     1.090     1.127
 0.8034   -0.208    -0.274     1.099     1.128
 0.7951   -0.226    -0.276     1.107     1.129
 0.7868   -0.244    -0.279     1.115     1.130
 0.7785   -0.263    -0.281     1.123     1.131
 0.7702   -0.282    -0.284     1.132     1.132
 0.7619   -0.302    -0.286     1.140     1.133
 0.7537   -0.322    -0.288     1.149     1.134
 0.7454   -0.342    -0.291     1.158     1.135
 0.7371   -0.363    -0.293     1.167     1.136
 0.7288   -0.385    -0.296     1.176     1.138
 0.7206   -0.408    -0.298     1.185     1.139
 0.7123   -0.430    -0.301     1.195     1.140
 0.7041   -0.453    -0.303     1.204     1.141
 0.6958   -0.476    -0.306     1.214     1.142
 0.6876   -0.499    -0.308     1.223     1.143
 0.6794   -0.522    -0.311     1.232     1.144
 0.6712   -0.545    -0.313     1.242     1.145
 0.6629   -0.569    -0.316     1.251     1.146
 0.6547   -0.593    -0.319     1.260     1.147
 0.6465   -0.616    -0.321     1.270     1.149
 0.6383   -0.640    -0.324     1.279     1.150
 0.6301   -0.665    -0.326     1.289     1.151
 0.6219   -0.689    -0.329     1.298     1.152
 0.6137   -0.714    -0.332     1.307     1.153
 0.6055   -0.739    -0.335     1.317     1.154
 0.5973   -0.764    -0.337     1.326     1.156
 0.5892   -0.790    -0.340     1.336     1.157
 0.5810   -0.815    -0.343     1.345     1.158
 0.5728   -0.841    -0.346     1.355     1.159
 0.5646   -0.868    -0.349     1.364     1.160
 0.5564   -0.894    -0.352     1.374     1.162
 0.5482   -0.922    -0.354     1.384     1.163
 0.5401   -0.950    -0.357     1.394     1.164
 0.5319   -0.978    -0.360     1.404     1.165
 0.5237   -1.007    -0.363     1.414     1.167
 0.5156   -1.036    -0.366     1.424     1.168
 0.5074   -1.066    -0.369     1.435     1.169
 0.4993   -1.096    -0.372     1.445     1.170
 0.4911   -1.126    -0.375     1.455     1.172
 0.4830   -1.157    -0.378     1.466     1.173
 0.4748   -1.188    -0.380     1.476     1.174
 0.4667   -1.220    -0.382     1.487     1.175
 0.4586   -1.251    -0.384     1.497     1.175
 0.4505   -1.284    -0.385     1.508     1.176
 0.4424   -1.317    -0.384     1.519     1.175
 0.4343   -1.350    -0.384     1.529     1.175
 0.4262   -1.383    -0.391     1.540     1.178
 0.4182   -1.416    -0.401     1.550     1.183
 0.4101   -1.447    -0.414     1.560     1.188
 0.4021   -1.478    -0.429     1.570     1.194
 0.3940   -1.505    -0.446     1.579     1.201
 0.3860   -1.530    -0.466     1.586     1.210
 0.3779   -1.554    -0.487     1.594     1.218
 0.3698   -1.577    -0.511     1.601     1.228
 0.3618   -1.600    -0.536     1.608     1.238
 0.3537   -1.623    -0.562     1.615     1.248
 0.3456   -1.647    -0.590     1.622     1.259
 0.3375   -1.672    -0.619     1.630     1.271
 0.3294   -1.697    -0.649     1.638     1.282
 0.3212   -1.724    -0.680     1.646     1.294
 0.3131   -1.751    -0.712     1.654     1.306
 0.3050   -1.780    -0.744     1.662     1.319
 0.2969   -1.810    -0.778     1.671     1.331
 0.2888   -1.841    -0.811     1.680     1.344
 0.2807   -1.874    -0.846     1.690     1.356
 0.2726   -1.908    -0.881     1.700     1.369
 0.2645   -1.944    -0.917     1.710     1.382
 0.2564   -1.981    -0.954     1.721     1.395
 0.2483   -2.021    -0.991     1.732     1.409
 0.2402   -2.063    -1.030     1.744     1.422
 0.2321   -2.107    -1.069     1.756     1.436
 0.2241   -2.153    -1.109     1.769     1.449
 0.2160   -2.201    -1.151     1.783     1.463
 0.2080   -2.252    -1.193     1.797     1.478
 0.2000   -2.305    -1.237     1.811     1.492
 0.1920   -2.362    -1.282     1.826     1.507
 0.1840   -2.421    -1.329     1.842     1.523
 0.1760   -2.484    -1.378     1.859     1.538
 0.1681   -2.551    -1.429     1.877     1.555
 0.1601   -2.624    -1.483     1.896     1.572
 0.1522   -2.702    -1.540     1.916     1.589
 0.1444   -2.789    -1.600     1.938     1.608
 0.1365   -2.883    -1.665     1.962     1.628
 0.1288   -2.986    -1.734     1.987     1.648
 0.1210   -3.096    -1.807     2.014     1.670
 0.1134   -3.215    -1.886     2.043     1.693
 0.1058   -3.344    -1.970     2.074     1.718
 0.0984   -3.486    -2.061     2.107     1.744
 0.0910   -3.642    -2.160     2.143     1.771
 0.0838   -3.813    -2.267     2.181     1.801
 0.0768   -4.006    -2.385     2.224     1.833
 0.0701   -4.227    -2.517     2.272     1.868
 0.0637   -4.479    -2.662     2.325     1.906
 0.0576   -4.753    -2.820     2.382     1.946
 0.0519   -5.050    -2.989     2.442     1.988
 0.0466   -5.388    -3.174     2.508     2.033
 0.0418   -5.755    -3.369     2.578     2.079
