xflr5 v6.58

Plane name :        3D windtunnel model
Polar name :        T1-49.0 m/s-Panel
Freestream speed :  49.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    0.000     0.000   0.000023   0.000000   0.006796   0.006796   0.000000   0.000000  -0.000009  -0.000000  -0.000000   49.0000     0.0903
    0.500     0.000   0.036642   0.000078   0.006799   0.006878   0.000000   0.000000  -0.008975  -0.000000  -0.000000   49.0000     0.0570
    1.000     0.000   0.073254   0.000314   0.006802   0.007116   0.000000   0.000000  -0.017940  -0.000000  -0.000000   49.0000     0.0570
    1.500     0.000   0.109852   0.000705   0.006809   0.007514   0.000000   0.000000  -0.026898  -0.000000  -0.000000   49.0000     0.0570
    2.000     0.000   0.146429   0.001253   0.006833   0.008087   0.000000   0.000000  -0.035849  -0.000000  -0.000000   49.0000     0.0570
    2.500     0.000   0.182979   0.001957   0.006861   0.008818   0.000000   0.000000  -0.044789  -0.000000  -0.000000   49.0000     0.0570
    3.000     0.000   0.219495   0.002816   0.006891   0.009707   0.000000   0.000000  -0.053716  -0.000000  -0.000000   49.0000     0.0569
    3.500     0.000   0.255969   0.003830   0.006923   0.010753   0.000000   0.000000  -0.062626  -0.000000  -0.000000   49.0000     0.0569
    4.000     0.000   0.292395   0.004998   0.006955   0.011953   0.000000   0.000000  -0.071518  -0.000000  -0.000000   49.0000     0.0569
    4.500     0.000   0.328767   0.006318   0.007051   0.013369   0.000000   0.000000  -0.080389  -0.000000  -0.000000   49.0000     0.0568
    5.000     0.000   0.365077   0.007791   0.007195   0.014986   0.000000   0.000000  -0.089237  -0.000000  -0.000000   49.0000     0.0568
    5.500     0.000   0.401318   0.009414   0.007373   0.016787   0.000000   0.000000  -0.098060  -0.000000  -0.000000   49.0000     0.0567
    6.000     0.000   0.437484   0.011187   0.007735   0.018922   0.000000   0.000000  -0.106858  -0.000000  -0.000000   49.0000     0.0567
    6.500     0.000   0.473569   0.013108   0.008178   0.021287   0.000000   0.000000  -0.115627  -0.000000  -0.000000   49.0000     0.0566
    7.000     0.000   0.509565   0.015176   0.008795   0.023971   0.000000   0.000000  -0.124369  -0.000000  -0.000000   49.0000     0.0565
    7.500     0.000   0.545466   0.017389   0.009511   0.026900   0.000000   0.000000  -0.133079  -0.000000  -0.000000   49.0000     0.0564
    8.000     0.000   0.581266   0.019746   0.010165   0.029911   0.000000   0.000000  -0.141749  -0.000000  -0.000000   49.0000     0.0564
    8.500     0.000   0.616957   0.022245   0.010745   0.032990   0.000000   0.000000  -0.150376  -0.000000  -0.000000   49.0000     0.0563
    9.000     0.000   0.652534   0.024883   0.011318   0.036200   0.000000   0.000000  -0.158960  -0.000000  -0.000000   49.0000     0.0562
    9.500     0.000   0.687990   0.027659   0.011901   0.039560   0.000000   0.000000  -0.167498  -0.000000  -0.000000   49.0000     0.0561
   10.000     0.000   0.723320   0.030571   0.012481   0.043052   0.000000   0.000000  -0.175988  -0.000000  -0.000000   49.0000     0.0560
   10.500     0.000   0.758515   0.033616   0.013075   0.046691   0.000000   0.000000  -0.184428  -0.000000  -0.000000   49.0000     0.0559
   11.000     0.000   0.793571   0.036792   0.013675   0.050467   0.000000   0.000000  -0.192814  -0.000000  -0.000000   49.0000     0.0558
   11.500     0.000   0.828481   0.040097   0.014281   0.054378   0.000000   0.000000  -0.201145  -0.000000  -0.000000   49.0000     0.0557
   12.000     0.000   0.863239   0.043528   0.015259   0.058787   0.000000   0.000000  -0.209436  -0.000000  -0.000000   49.0000     0.0555
   12.500     0.000   0.897839   0.047083   0.016508   0.063590   0.000000   0.000000  -0.217683  -0.000000  -0.000000   49.0000     0.0554
   13.000     0.000   0.932276   0.050758   0.017996   0.068754   0.000000   0.000000  -0.225882  -0.000000  -0.000000   49.0000     0.0553
   13.500     0.000   0.966543   0.054551   0.019974   0.074526   0.000000   0.000000  -0.234048  -0.000000  -0.000000   49.0000     0.0551
   14.000     0.000   1.000634   0.058460   0.023143   0.081603   0.000000   0.000000  -0.242224  -0.000000  -0.000000   49.0000     0.0550


