xflr5 v6.58

Plane name :        3D windtunnel model
Polar name :        T1-49.0 m/s-VLM1
Freestream speed :  49.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    0.000     0.000   0.000016   0.000000   0.006656   0.006656   0.000000   0.000000  -0.000008  -0.000000  -0.000000   49.0000     0.1244
    0.500     0.000   0.036111   0.000076   0.006659   0.006735   0.000000  -0.000000  -0.008672   0.000000  -0.000000   49.0000     0.0574
    1.000     0.000   0.072198   0.000304   0.006662   0.006966  -0.000000  -0.000000  -0.017334  -0.000000  -0.000000   49.0000     0.0574
    1.500     0.000   0.108273   0.000683   0.006669   0.007352   0.000000  -0.000000  -0.025990  -0.000000  -0.000000   49.0000     0.0574
    2.000     0.000   0.144327   0.001214   0.006693   0.007908  -0.000000   0.000000  -0.034638   0.000000   0.000000   49.0000     0.0574
    2.500     0.000   0.180354   0.001896   0.006721   0.008617   0.000000  -0.000000  -0.043276   0.000000   0.000000   49.0000     0.0574
    3.000     0.000   0.216348   0.002729   0.006750   0.009479  -0.000000   0.000000  -0.051901  -0.000000   0.000000   49.0000     0.0574
    3.500     0.000   0.252302   0.003711   0.006781   0.010492   0.000000   0.000000  -0.060510  -0.000000  -0.000000   49.0000     0.0574
    4.000     0.000   0.288209   0.004842   0.006813   0.011656  -0.000000  -0.000000  -0.069102   0.000000   0.000000   49.0000     0.0574
    4.500     0.000   0.324062   0.006122   0.006914   0.013036   0.000000  -0.000000  -0.077673  -0.000000  -0.000000   49.0000     0.0575
    5.000     0.000   0.359855   0.007549   0.007057   0.014606  -0.000000   0.000000  -0.086222   0.000000   0.000000   49.0000     0.0575
    5.500     0.000   0.395581   0.009122   0.007243   0.016364   0.000000  -0.000000  -0.094747   0.000000   0.000000   49.0000     0.0575
    6.000     0.000   0.431234   0.010840   0.007610   0.018449  -0.000000  -0.000000  -0.103249   0.000000   0.000000   49.0000     0.0575
    6.500     0.000   0.466807   0.012701   0.008054   0.020756  -0.000000  -0.000000  -0.111722   0.000000   0.000000   49.0000     0.0576
    7.000     0.000   0.502294   0.014705   0.008678   0.023383  -0.000000  -0.000000  -0.120170   0.000000   0.000000   49.0000     0.0576
    7.500     0.000   0.537688   0.016850   0.009387   0.026237  -0.000000  -0.000000  -0.128586  -0.000000  -0.000000   49.0000     0.0576
    8.000     0.000   0.572984   0.019133   0.010021   0.029154  -0.000000   0.000000  -0.136964   0.000000   0.000000   49.0000     0.0576
    8.500     0.000   0.608173   0.021554   0.010587   0.032141   0.000000   0.000000  -0.145300   0.000000   0.000000   49.0000     0.0577
    9.000     0.000   0.643251   0.024111   0.011152   0.035262  -0.000000   0.000000  -0.153594   0.000000  -0.000000   49.0000     0.0577
    9.500     0.000   0.678211   0.026800   0.011730   0.038530  -0.000000  -0.000000  -0.161845   0.000000   0.000000   49.0000     0.0578
   10.000     0.000   0.713047   0.029622   0.012300   0.041922  -0.000000  -0.000000  -0.170049   0.000000   0.000000   49.0000     0.0578
   10.500     0.000   0.747753   0.032573   0.012889   0.045461  -0.000000  -0.000000  -0.178204   0.000000   0.000000   49.0000     0.0578
   11.000     0.000   0.782322   0.035650   0.013480   0.049130  -0.000000  -0.000000  -0.186308   0.000000   0.000000   49.0000     0.0579
   11.500     0.000   0.816749   0.038853   0.014107   0.052960  -0.000000  -0.000000  -0.194359  -0.000000  -0.000000   49.0000     0.0579
   12.000     0.000   0.851028   0.042177   0.015130   0.057307   0.000000   0.000000  -0.202375  -0.000000  -0.000000   49.0000     0.0580
   12.500     0.000   0.885153   0.045622   0.016392   0.062013  -0.000000   0.000000  -0.210347  -0.000000   0.000000   49.0000     0.0580
   13.000     0.000   0.919118   0.049183   0.017942   0.067125  -0.000000  -0.000000  -0.218276   0.000000   0.000000   49.0000     0.0581
   13.500     0.000   0.952917   0.052859   0.020040   0.072899  -0.000000  -0.000000  -0.226178  -0.000000  -0.000000   49.0000     0.0581
   14.000     0.000   0.986545   0.056646   0.023466   0.080112  -0.000000  -0.000000  -0.234101   0.000000   0.000000   49.0000     0.0582


