alpha,Beta,CL,CDi,CDv,CD,CY,Cl,Cm,Cn,Cni,QInf,XCP
-3,0,-0.237347,0.003453,0.006733,0.010186,0,0,0.060404,0,0,49,0.0595
-2.5,0,-0.196934,0.002428,0.006708,0.009136,0,0,0.050221,0,0,49,0.0596
-2,0,-0.157655,0.001559,0.006695,0.008254,0,0,0.040275,0,0,49,0.0598
-1.5,0,-0.118022,0.000878,0.006682,0.00756,0,0,0.030142,0,0,49,0.0599
-1,0,-0.07857,0.000393,0.006661,0.007054,0,0,0.020095,0,0,49,0.0606
-0.5,0,-0.039047,0.0001,0.006646,0.006746,0,0,0.009998,0,0,49,0.0756
0,0,0.000793,0,0.006645,0.006644,0,0,-0.00026,0,0,49,0.1125
0.5,0,0.040202,0.000095,0.006646,0.006741,0,0,-0.010289,0,0,49,0.0743
1,0,0.079775,0.000383,0.00665,0.007033,0,0,-0.020402,0,0,49,0.0605
1.5,0,0.119407,0.000866,0.006664,0.00753,0,0,-0.030548,0,0,49,0.06
2,0,0.158928,0.001541,0.006693,0.008234,0,0,-0.040631,0,0,49,0.0599
2.5,0,0.198069,0.002401,0.006724,0.009125,0,0,-0.050501,0,0,49,0.0596
3,0,0.237167,0.00345,0.006756,0.010206,0,0,-0.060333,0,0,49,0.0595
3.5,0,0.276162,0.004685,0.006791,0.011475,0,0,-0.070106,0,0,49,0.0593
4,0,0.315083,0.006105,0.006829,0.012935,0,0,-0.079842,0,0,49,0.0592
4.5,0,0.353979,0.007712,0.006881,0.014593,0,0,-0.089568,0,0,49,0.059
5,0,0.392601,0.009495,0.00697,0.016465,0,0,-0.099168,0,0,49,0.0589
5.5,0,0.430638,0.011432,0.007104,0.018537,0,0,-0.108477,0,0,49,0.0587
6,0,0.465187,0.013393,0.007586,0.020979,0,0,-0.116298,0,0,49,0.0582
6.5,0,0.497228,0.015359,0.008368,0.023727,0,0,-0.123042,0,0,49,0.0575
7,0,0.529526,0.017451,0.009155,0.026606,0,0,-0.129904,0,0,49,0.0569
7.5,0,0.562966,0.019742,0.009798,0.029541,0,0,-0.137234,0,0,49,0.0565
8,0,0.596659,0.022172,0.010394,0.032565,0,0,-0.144597,0,0,49,0.056
8.5,0,0.630393,0.024761,0.010924,0.035684,0,0,-0.151928,0,0,49,0.0556
9,0,0.663723,0.027477,0.011464,0.038941,0,0,-0.159049,0,0,49,0.0552
9.5,0,0.698353,0.030407,0.01208,0.042487,0,0,-0.166864,0,0,49,0.055
10,0,0.735787,0.033686,0.012743,0.046429,0,0,-0.176203,0,0,49,0.055
10.5,0,0.775043,0.037303,0.013464,0.050767,0,0,-0.186673,0,0,49,0.0552
11,0,0.813972,0.041107,0.014143,0.05525,0,0,-0.197057,0,0,49,0.0555
11.5,0,0.844378,0.044419,0.014893,0.059312,0,0,-0.203351,0,0,49,0.0551
12,0,0.870657,0.047437,0.015717,0.063154,0,0,-0.207665,0,0,49,0.0544
12.5,0,0.896611,0.050491,0.016647,0.067138,0,0,-0.212014,0,0,49,0.0538
13,0,0.921662,0.053497,0.017717,0.071214,0,0,-0.216141,0,0,49,0.0532
13.5,0,0.945906,0.056536,0.018928,0.075464,0,0,-0.22024,0,0,49,0.0526
14,0,0.968621,0.059414,0.020333,0.079747,0,0,-0.223888,0,0,49,0.0521
14.5,0,0.989806,0.062285,0.022016,0.084301,0,0,-0.227404,0,0,49,0.0516
15,0,1.00921,0.06509,0.024014,0.089103,0,0,-0.230682,0,0,49,0.0512
15.5,0,1.027095,0.067628,0.026128,0.093756,0,0,-0.233355,0,0,49,0.0507
16,0,1.043933,0.070132,0.028499,0.098632,0,0,-0.236116,0,0,49,0.0502
16.5,0,1.058929,0.072542,0.031188,0.10373,0,0,-0.238739,0,0,49,0.0499
17,0,1.071115,0.074722,0.03432,0.109042,0,0,-0.240978,0,0,49,0.0496
17.5,0,1.080117,0.07656,0.038024,0.114584,0,0,-0.242815,0,0,49,0.0493
18,0,1.08627,0.078177,0.042338,0.120514,0,0,-0.244551,0,0,49,0.0492
18.5,0,1.088705,0.07944,0.047524,0.126965,0,0,-0.24607,0,0,49,0.0492
