alpha,Beta,CL,CDi,CDv,CD,CY,Cl,Cm,Cn,Cni,QInf,XCP
-3,0,-0.219449,0.002815,0.006871,0.009687,0,0,0.053698,0,0,49,0.0569
-2.5,0,-0.182934,0.001956,0.006855,0.008811,0,0,0.044772,0,0,49,0.057
-2,0,-0.146384,0.001253,0.006843,0.008096,0,0,0.035832,0,0,49,0.057
-1.5,0,-0.109806,0.000705,0.00683,0.007535,0,0,0.026882,0,0,49,0.057
-1,0,-0.073208,0.000313,0.00681,0.007123,0,0,0.017923,0,0,49,0.057
-0.5,0,-0.036596,0.000078,0.006798,0.006876,0,0,0.008958,0,0,49,0.057
0,0,0.000023,0,0.006796,0.006796,0,0,-0.000009,0,0,49,0.0903
0.5,0,0.036642,0.000078,0.006798,0.006876,0,0,-0.008975,0,0,49,0.057
1,0,0.073254,0.000314,0.006801,0.007115,0,0,-0.01794,0,0,49,0.057
1.5,0,0.109852,0.000705,0.006809,0.007515,0,0,-0.026898,0,0,49,0.057
2,0,0.146429,0.001253,0.006834,0.008088,0,0,-0.035849,0,0,49,0.057
2.5,0,0.182979,0.001957,0.006862,0.008819,0,0,-0.044789,0,0,49,0.057
3,0,0.219495,0.002816,0.006891,0.009708,0,0,-0.053716,0,0,49,0.0569
3.5,0,0.255969,0.00383,0.006922,0.010752,0,0,-0.062626,0,0,49,0.0569
4,0,0.292395,0.004998,0.006955,0.011952,0,0,-0.071518,0,0,49,0.0569
4.5,0,0.328767,0.006318,0.006994,0.013312,0,0,-0.080388,0,0,49,0.0568
5,0,0.365077,0.007791,0.00705,0.014841,0,0,-0.089234,0,0,49,0.0568
5.5,0,0.401318,0.009414,0.007138,0.016552,0,0,-0.098054,0,0,49,0.0567
6,0,0.437484,0.011187,0.007265,0.018452,0,0,-0.106845,0,0,49,0.0567
6.5,0,0.473569,0.013108,0.007882,0.02099,0,0,-0.115619,0,0,49,0.0566
7,0,0.509565,0.015176,0.008731,0.023908,0,0,-0.124367,0,0,49,0.0565
7.5,0,0.545466,0.017389,0.009475,0.026864,0,0,-0.133078,0,0,49,0.0564
8,0,0.581266,0.019746,0.010106,0.029852,0,0,-0.141747,0,0,49,0.0564
8.5,0,0.616957,0.022245,0.010663,0.032908,0,0,-0.150373,0,0,49,0.0563
9,0,0.652534,0.024883,0.01126,0.036143,0,0,-0.158958,0,0,49,0.0562
9.5,0,0.68799,0.027659,0.011848,0.039506,0,0,-0.167496,0,0,49,0.0561
10,0,0.72332,0.030571,0.012448,0.043019,0,0,-0.175987,0,0,49,0.056
10.5,0,0.758515,0.033616,0.013058,0.046674,0,0,-0.184427,0,0,49,0.0559
11,0,0.793571,0.036792,0.013664,0.050456,0,0,-0.192814,0,0,49,0.0558
11.5,0,0.828481,0.040097,0.014275,0.054372,0,0,-0.201144,0,0,49,0.0557
12,0,0.863239,0.043528,0.015284,0.058813,0,0,-0.209437,0,0,49,0.0555
12.5,0,0.897839,0.047083,0.016479,0.063562,0,0,-0.217681,0,0,49,0.0554
13,0,0.932276,0.050758,0.017942,0.0687,0,0,-0.225879,0,0,49,0.0553
13.5,0,0.966543,0.054551,0.01993,0.074482,0,0,-0.234046,0,0,49,0.0551
14,0,1.000634,0.05846,0.023091,0.081551,0,0,-0.242221,0,0,49,0.055
