alpha,Beta,CL,CDi,CDv,CD,CY,Cl,Cm,Cn,Cni,QInf,XCP
0,0,0.000023,0,0.006796,0.006796,0,0,-0.000009,0,0,49,0.0903
0.5,0,0.036642,0.000078,0.006799,0.006878,0,0,-0.008975,0,0,49,0.057
1,0,0.073254,0.000314,0.006802,0.007116,0,0,-0.01794,0,0,49,0.057
1.5,0,0.109852,0.000705,0.006809,0.007514,0,0,-0.026898,0,0,49,0.057
2,0,0.146429,0.001253,0.006833,0.008087,0,0,-0.035849,0,0,49,0.057
2.5,0,0.182979,0.001957,0.006861,0.008818,0,0,-0.044789,0,0,49,0.057
3,0,0.219495,0.002816,0.006891,0.009707,0,0,-0.053716,0,0,49,0.0569
3.5,0,0.255969,0.00383,0.006923,0.010753,0,0,-0.062626,0,0,49,0.0569
4,0,0.292395,0.004998,0.006955,0.011953,0,0,-0.071518,0,0,49,0.0569
4.5,0,0.328767,0.006318,0.007051,0.013369,0,0,-0.080389,0,0,49,0.0568
5,0,0.365077,0.007791,0.007195,0.014986,0,0,-0.089237,0,0,49,0.0568
5.5,0,0.401318,0.009414,0.007373,0.016787,0,0,-0.09806,0,0,49,0.0567
6,0,0.437484,0.011187,0.007735,0.018922,0,0,-0.106858,0,0,49,0.0567
6.5,0,0.473569,0.013108,0.008178,0.021287,0,0,-0.115627,0,0,49,0.0566
7,0,0.509565,0.015176,0.008795,0.023971,0,0,-0.124369,0,0,49,0.0565
7.5,0,0.545466,0.017389,0.009511,0.0269,0,0,-0.133079,0,0,49,0.0564
8,0,0.581266,0.019746,0.010165,0.029911,0,0,-0.141749,0,0,49,0.0564
8.5,0,0.616957,0.022245,0.010745,0.03299,0,0,-0.150376,0,0,49,0.0563
9,0,0.652534,0.024883,0.011318,0.0362,0,0,-0.15896,0,0,49,0.0562
9.5,0,0.68799,0.027659,0.011901,0.03956,0,0,-0.167498,0,0,49,0.0561
10,0,0.72332,0.030571,0.012481,0.043052,0,0,-0.175988,0,0,49,0.056
10.5,0,0.758515,0.033616,0.013075,0.046691,0,0,-0.184428,0,0,49,0.0559
11,0,0.793571,0.036792,0.013675,0.050467,0,0,-0.192814,0,0,49,0.0558
11.5,0,0.828481,0.040097,0.014281,0.054378,0,0,-0.201145,0,0,49,0.0557
12,0,0.863239,0.043528,0.015259,0.058787,0,0,-0.209436,0,0,49,0.0555
12.5,0,0.897839,0.047083,0.016508,0.06359,0,0,-0.217683,0,0,49,0.0554
13,0,0.932276,0.050758,0.017996,0.068754,0,0,-0.225882,0,0,49,0.0553
13.5,0,0.966543,0.054551,0.019974,0.074526,0,0,-0.234048,0,0,49,0.0551
14,0,1.000634,0.05846,0.023143,0.081603,0,0,-0.242224,0,0,49,0.055
