alpha,Beta,CL,CDi,CDv,CD,CY,Cl,Cm,Cn,Cni,QInf,XCP
-3,0,-0.216316,0.002728,0.006731,0.009459,0,0,0.051884,0,0,49,0.0574
-2.5,0,-0.180323,0.001896,0.006714,0.00861,0,0,0.043259,0,0,49,0.0574
-2,0,-0.144295,0.001214,0.006702,0.007916,0,0,0.034622,0,0,49,0.0574
-1.5,0,-0.108241,0.000683,0.00669,0.007373,0,0,0.025973,0,0,49,0.0574
-1,0,-0.072166,0.000304,0.00667,0.006973,0,0,0.017317,0,0,49,0.0574
-0.5,0,-0.036079,0.000076,0.006658,0.006734,0,0,0.008656,0,0,49,0.0573
0,0,0.000016,0,0.006656,0.006656,0,0,-0.000008,0,0,49,0.1244
0.5,0,0.036111,0.000076,0.006658,0.006734,0,0,-0.008672,0,0,49,0.0574
1,0,0.072198,0.000304,0.006661,0.006965,0,0,-0.017334,0,0,49,0.0574
1.5,0,0.108273,0.000683,0.006669,0.007353,0,0,-0.02599,0,0,49,0.0574
2,0,0.144327,0.001214,0.006694,0.007909,0,0,-0.034638,0,0,49,0.0574
2.5,0,0.180354,0.001896,0.006722,0.008618,0,0,-0.043276,0,0,49,0.0574
3,0,0.216348,0.002729,0.006751,0.009479,0,0,-0.051901,0,0,49,0.0574
3.5,0,0.252302,0.003711,0.006781,0.010492,0,0,-0.06051,0,0,49,0.0574
4,0,0.288209,0.004842,0.006813,0.011656,0,0,-0.069102,0,0,49,0.0574
4.5,0,0.324062,0.006122,0.006852,0.012974,0,0,-0.077672,0,0,49,0.0575
5,0,0.359855,0.007549,0.00691,0.014458,0,0,-0.086219,0,0,49,0.0575
5.5,0,0.395581,0.009122,0.006999,0.016121,0,0,-0.094741,0,0,49,0.0575
6,0,0.431234,0.01084,0.007131,0.017971,0,0,-0.103236,0,0,49,0.0575
6.5,0,0.466807,0.012701,0.007789,0.020491,0,0,-0.111715,0,0,49,0.0576
7,0,0.502294,0.014705,0.008624,0.02333,0,0,-0.120168,0,0,49,0.0576
7.5,0,0.537688,0.01685,0.009347,0.026196,0,0,-0.128585,0,0,49,0.0576
8,0,0.572984,0.019133,0.009963,0.029096,0,0,-0.136962,0,0,49,0.0576
8.5,0,0.608173,0.021554,0.010508,0.032062,0,0,-0.145297,0,0,49,0.0577
9,0,0.643251,0.024111,0.011097,0.035208,0,0,-0.153592,0,0,49,0.0577
9.5,0,0.678211,0.0268,0.011678,0.038478,0,0,-0.161843,0,0,49,0.0578
10,0,0.713047,0.029622,0.012269,0.041891,0,0,-0.170047,0,0,49,0.0578
10.5,0,0.747753,0.032573,0.012874,0.045447,0,0,-0.178203,0,0,49,0.0578
11,0,0.782322,0.03565,0.013469,0.049119,0,0,-0.186307,0,0,49,0.0579
11.5,0,0.816749,0.038853,0.014108,0.052961,0,0,-0.194359,0,0,49,0.0579
12,0,0.851028,0.042177,0.015147,0.057325,0,0,-0.202376,0,0,49,0.058
12.5,0,0.885153,0.045622,0.016364,0.061986,0,0,-0.210345,0,0,49,0.058
13,0,0.919118,0.049183,0.017874,0.067057,0,0,-0.218273,0,0,49,0.0581
13.5,0,0.952917,0.052859,0.020049,0.072908,0,0,-0.226179,0,0,49,0.0581
14,0,0.986545,0.056646,0.023326,0.079972,0,0,-0.234093,0,0,49,0.0582
