alpha,Beta,CL,CDi,CDv,CD,CY,Cl,Cm,Cn,Cni,QInf,XCP
0,0,0.000016,0,0.006656,0.006656,0,0,-0.000008,0,0,49,0.1244
0.5,0,0.036111,0.000076,0.006659,0.006735,0,0,-0.008672,0,0,49,0.0574
1,0,0.072198,0.000304,0.006662,0.006966,0,0,-0.017334,0,0,49,0.0574
1.5,0,0.108273,0.000683,0.006669,0.007352,0,0,-0.02599,0,0,49,0.0574
2,0,0.144327,0.001214,0.006693,0.007908,0,0,-0.034638,0,0,49,0.0574
2.5,0,0.180354,0.001896,0.006721,0.008617,0,0,-0.043276,0,0,49,0.0574
3,0,0.216348,0.002729,0.00675,0.009479,0,0,-0.051901,0,0,49,0.0574
3.5,0,0.252302,0.003711,0.006781,0.010492,0,0,-0.06051,0,0,49,0.0574
4,0,0.288209,0.004842,0.006813,0.011656,0,0,-0.069102,0,0,49,0.0574
4.5,0,0.324062,0.006122,0.006914,0.013036,0,0,-0.077673,0,0,49,0.0575
5,0,0.359855,0.007549,0.007057,0.014606,0,0,-0.086222,0,0,49,0.0575
5.5,0,0.395581,0.009122,0.007243,0.016364,0,0,-0.094747,0,0,49,0.0575
6,0,0.431234,0.01084,0.00761,0.018449,0,0,-0.103249,0,0,49,0.0575
6.5,0,0.466807,0.012701,0.008054,0.020756,0,0,-0.111722,0,0,49,0.0576
7,0,0.502294,0.014705,0.008678,0.023383,0,0,-0.12017,0,0,49,0.0576
7.5,0,0.537688,0.01685,0.009387,0.026237,0,0,-0.128586,0,0,49,0.0576
8,0,0.572984,0.019133,0.010021,0.029154,0,0,-0.136964,0,0,49,0.0576
8.5,0,0.608173,0.021554,0.010587,0.032141,0,0,-0.1453,0,0,49,0.0577
9,0,0.643251,0.024111,0.011152,0.035262,0,0,-0.153594,0,0,49,0.0577
9.5,0,0.678211,0.0268,0.01173,0.03853,0,0,-0.161845,0,0,49,0.0578
10,0,0.713047,0.029622,0.0123,0.041922,0,0,-0.170049,0,0,49,0.0578
10.5,0,0.747753,0.032573,0.012889,0.045461,0,0,-0.178204,0,0,49,0.0578
11,0,0.782322,0.03565,0.01348,0.04913,0,0,-0.186308,0,0,49,0.0579
11.5,0,0.816749,0.038853,0.014107,0.05296,0,0,-0.194359,0,0,49,0.0579
12,0,0.851028,0.042177,0.01513,0.057307,0,0,-0.202375,0,0,49,0.058
12.5,0,0.885153,0.045622,0.016392,0.062013,0,0,-0.210347,0,0,49,0.058
13,0,0.919118,0.049183,0.017942,0.067125,0,0,-0.218276,0,0,49,0.0581
13.5,0,0.952917,0.052859,0.02004,0.072899,0,0,-0.226178,0,0,49,0.0581
14,0,0.986545,0.056646,0.023466,0.080112,0,0,-0.234101,0,0,49,0.0582
