;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
y-span;Chord;Ai;Cl;PCd;ICd;CmGeom;CmAirf@chor;d/4    XTr;top    XTr;Bot      XCP;BM
-0.6321;0.2205;-6.269;0.197119;0.006905;0.021568;-0.062097;-0.000652;0.6221;0.7111;0.2479;0.0000
-0.6087;0.2391;-5.045;0.334322;0.006859;0.029436;-0.085261;-0.000573;0.5656;0.7408;0.2458;0.0235
-0.5702;0.2400;-3.980;0.448503;0.007409;0.031151;-0.112114;0.000278;0.4650;0.7730;0.2432;0.2017
-0.5178;0.2400;-3.115;0.530416;0.008671;0.028839;-0.130334;0.002585;0.2798;0.8026;0.2381;0.8227
-0.4525;0.2400;-2.480;0.586594;0.009982;0.025390;-0.142301;0.004696;0.1598;0.8285;0.2346;23.130
-0.3762;0.2400;-2.042;0.624708;0.010945;0.022264;-0.150334;0.006214;0.0796;0.8469;0.2321;51.773
-0.2906;0.2400;-1.765;0.650507;0.011374;0.020040;-0.155997;0.007016;0.0647;0.8631;0.2311;99.183
-0.1978;0.2400;-1.590;0.667026;0.011626;0.018510;-0.159647;0.007506;0.0593;0.8739;0.2305;169.556
-0.1001;0.2400;-1.493;0.676193;0.011766;0.017617;-0.161672;0.007777;0.0563;0.8799;0.2302;265.514
-0.0000;0.2400;-1.462;0.679131;0.011811;0.017324;-0.162322;0.007864;0.0553;0.8818;0.2301;387.522
0.1001;0.2400;-1.493;0.676193;0.011766;0.017617;-0.161672;0.007777;0.0563;0.8799;0.2302;265.514
0.1978;0.2400;-1.590;0.667026;0.011626;0.018510;-0.159647;0.007506;0.0593;0.8739;0.2305;169.556
0.2906;0.2400;-1.765;0.650507;0.011374;0.020040;-0.155997;0.007016;0.0647;0.8631;0.2311;99.183
0.3762;0.2400;-2.042;0.624708;0.010945;0.022264;-0.150334;0.006214;0.0796;0.8469;0.2321;51.773
0.4525;0.2400;-2.480;0.586594;0.009982;0.025390;-0.142301;0.004696;0.1598;0.8285;0.2346;23.130
0.5178;0.2400;-3.115;0.530416;0.008671;0.028839;-0.130334;0.002585;0.2798;0.8026;0.2381;0.8227
0.5702;0.2400;-3.980;0.448503;0.007409;0.031151;-0.112114;0.000278;0.4650;0.7730;0.2432;0.2017
0.6087;0.2391;-5.045;0.334322;0.006859;0.029436;-0.085261;-0.000573;0.5656;0.7408;0.2458;0.0235
0.6321;0.2205;-6.269;0.197119;0.006905;0.021568;-0.062097;-0.000652;0.6221;0.7111;0.2479;0.0000
