   Alpha, Cpu_001, Cpu_002, Cpu_003, Cpu_004, Cpu_005, Cpu_006, Cpu_007, Cpu_008, Cpu_009, Cpu_010, Cpu_011, Cpu_012, Cpu_013, Cpu_014, Cpu_015, Cpu_016, Cpu_017, Cpu_018, Cpu_019, Cpu_020, Cpu_021, Cpu_022, Cpu_023, Cpu_024, Cpu_025, Cpu_026, Cpu_027, Cpl_001, Cpl_002, Cpl_003, Cpl_004, Cpl_005, Cpl_006, Cpl_007, Cpl_008, Cpl_009, Cpl_010, Cpl_011, Cpl_012, Cpl_013, Cpl_014, Cpl_015, Cpl_016, Cpl_017, Cpl_018, Cpl_019, Cpl_020, Cpl_021, Cpl_022, Cpl_023, Cpl_024, Cpl_025, Cpl_026, Cpl_027
,100,95.2,90.1,85.2,80.1,75,70.2,65,59.8,55.2,50.1,45.2,40.2,35.1,30.1,25,20,15.1,10.1,8.9,7.1,5.5,4.3,3.1,1.8,0.8,0,0,0.6,1.6,3,4.2,5.4,6.9,8.4,9.8,15,19.9,24.9,29.9,34.9,40,45,49.6,55.1,60.1,65,69.9,75,80,85,90,95.2,100
-3.0,0.18144,0.1258,0.06692,0.02713,-0.01052,-0.05356,-0.11844,-0.18845,-0.22007,-0.25884,-0.29873,-0.33242,-0.34676,-0.328,-0.29554,-0.25452,-0.20646,-0.13422,-0.03668,0.00789,0.06874,0.13102,0.22544,0.286,0.51196,0.79031,0.60933,0.61093,-0.6942,-0.82583,-0.79996,-0.77922,-0.76726,-0.73331,-0.72053,-0.68642,-0.68342,-0.67206,-0.64843,-0.65084,-0.64252,-0.62721,-0.57874,-0.53125,-0.45574,-0.34117,-0.27794,-0.20436,-0.13579,-0.08637,-0.03082,0.00156,0.11117,0.18144
-2.0,0.18336,0.12407,0.06124,0.01791,-0.02405,-0.07088,-0.12465,-0.2109,-0.2531,-0.29211,-0.33494,-0.37414,-0.39383,-0.38157,-0.35509,-0.32115,-0.28227,-0.22194,-0.14073,-0.10247,-0.0509,0.00297,0.08449,0.13638,0.34428,0.63191,0.81389,0.81595,-0.34113,-0.53551,-0.57127,-0.58856,-0.5982,-0.58454,-0.58529,-0.56594,-0.58451,-0.58916,-0.57831,-0.58869,-0.58824,-0.57945,-0.53447,-0.4848,-0.44267,-0.3274,-0.25427,-0.18635,-0.12191,-0.07676,-0.0247,0.00395,0.11176,0.18336
-1.0,0.1849,0.12245,0.05617,0.01032,-0.03628,-0.08785,-0.13788,-0.213,-0.28858,-0.3266,-0.37085,-0.4152,-0.441,-0.43463,-0.41475,-0.38851,-0.35834,-0.31132,-0.24927,-0.21785,-0.17645,-0.13281,-0.06777,-0.02804,0.15274,0.42823,0.94229,0.94433,-0.02934,-0.27003,-0.35806,-0.40802,-0.43663,-0.4418,-0.45478,-0.44955,-0.48781,-0.50756,-0.50895,-0.52702,-0.53412,-0.53201,-0.49227,-0.44311,-0.40073,-0.33785,-0.23037,-0.16879,-0.10868,-0.06678,-0.01758,0.00682,0.11281,0.1849
0.0,0.18322,0.12027,0.05339,0.00231,-0.0492,-0.10667,-0.16917,-0.22184,-0.28898,-0.35054,-0.40486,-0.45328,-0.4884,-0.4861,-0.47525,-0.45684,-0.4382,-0.40473,-0.36273,-0.3401,-0.31009,-0.278,-0.23179,-0.20809,-0.06439,0.17783,0.99556,0.99768,0.24232,-0.02895,-0.1597,-0.23756,-0.28275,-0.30523,-0.32954,-0.33751,-0.39395,-0.42789,-0.44124,-0.46651,-0.48106,-0.48557,-0.45173,-0.40539,-0.36108,-0.32541,-0.22325,-0.15123,-0.09488,-0.05711,-0.01139,0.0088,0.11327,0.18322
1.0,0.18496,0.11912,0.04908,-0.00476,-0.05984,-0.12013,-0.18547,-0.24152,-0.31158,-0.37946,-0.44016,-0.49389,-0.53492,-0.53812,-0.53445,-0.52351,-0.51685,-0.49939,-0.48003,-0.46675,-0.44927,-0.43129,-0.40682,-0.40104,-0.30548,-0.11507,0.99373,0.99595,0.47163,0.18637,0.02237,-0.07812,-0.13724,-0.17547,-0.20954,-0.22977,-0.30263,-0.35,-0.37446,-0.40666,-0.42811,-0.43891,-0.4111,-0.36887,-0.3248,-0.29077,-0.23098,-0.13495,-0.07927,-0.04596,-0.00388,0.01162,0.11437,0.18496
2.0,0.18706,0.11856,0.04563,-0.01146,-0.06999,-0.13329,-0.20124,-0.26081,-0.33399,-0.40711,-0.47565,-0.5356,-0.58306,-0.59284,-0.59634,-0.59266,-0.59692,-0.59793,-0.60207,-0.59982,-0.59686,-0.59365,-0.5951,-0.60904,-0.57394,-0.45695,0.93062,0.93281,0.66179,0.37907,0.19136,0.07299,0.00211,-0.04983,-0.09289,-0.12466,-0.21236,-0.27209,-0.30757,-0.34607,-0.37435,-0.39119,-0.36946,-0.332,-0.29004,-0.25457,-0.21791,-0.12235,-0.06396,-0.0338,0.00461,0.01538,0.11584,0.18706
3.0,0.18769,0.11735,0.04237,-0.01761,-0.07896,-0.14519,-0.21698,-0.28017,-0.35593,-0.43297,-0.5089,-0.57657,-0.63103,-0.64718,-0.65853,-0.6636,-0.67924,-0.69758,-0.72805,-0.73661,-0.75016,-0.76393,-0.7946,-0.82927,-0.8642,-0.83963,0.78862,0.79058,0.80877,0.54464,0.34348,0.21233,0.13234,0.06849,0.0177,-0.02429,-0.1252,-0.19631,-0.24206,-0.28641,-0.32117,-0.3436,-0.32788,-0.29558,-0.2569,-0.22156,-0.19063,-0.12776,-0.05153,-0.02161,0.01357,0.01931,0.11734,0.18769
3.5,0.18805,0.11689,0.04101,-0.02066,-0.08326,-0.15106,-0.22459,-0.29015,-0.36722,-0.44555,-0.52475,-0.59688,-0.65497,-0.6753,-0.68978,-0.69986,-0.72149,-0.74867,-0.79345,-0.808,-0.82985,-0.8529,-0.89974,-0.94525,-1.02036,-1.04862,0.68692,0.68863,0.86706,0.61844,0.41424,0.27839,0.19477,0.12554,0.07132,0.02461,-0.08237,-0.15883,-0.20956,-0.25674,-0.29463,-0.31986,-0.30709,-0.27737,-0.24073,-0.20606,-0.17501,-0.1291,-0.04628,-0.0156,0.01805,0.02129,0.11791,0.18805
4.0,0.18879,0.11693,0.04025,-0.02269,-0.08718,-0.15622,-0.23119,-0.29886,-0.3777,-0.45732,-0.53829,-0.61491,-0.67731,-0.70162,-0.72,-0.73407,-0.76165,-0.79756,-0.85787,-0.87845,-0.90848,-0.94076,-1.00405,-1.05984,-1.17589,-1.26017,0.56943,0.57126,0.91334,0.68353,0.47876,0.33955,0.25293,0.17911,0.12189,0.0708,-0.04168,-0.12309,-0.17865,-0.22822,-0.26915,-0.29701,-0.28709,-0.26008,-0.22534,-0.19171,-0.16009,-0.12343,-0.04257,-0.01029,0.02219,0.02295,0.11762,0.18879
4.5,0.18926,0.11702,0.0399,-0.024,-0.08969,-0.1605,-0.23718,-0.3072,-0.38759,-0.46771,-0.54974,-0.63008,-0.69805,-0.72646,-0.74958,-0.76883,-0.80074,-0.84591,-0.92368,-0.95079,-0.9894,-1.03053,-1.1114,-1.17759,-1.33733,-1.48165,0.43283,0.43447,0.9497,0.74255,0.53957,0.39803,0.30909,0.231,0.17082,0.11574,-0.00184,-0.08809,-0.14819,-0.20044,-0.24433,-0.27482,-0.26786,-0.24346,-0.21085,-0.17866,-0.14666,-0.1159,-0.04284,-0.00693,0.02485,0.02309,0.11369,0.18926
5.0,0.18714,0.11633,0.04071,-0.02318,-0.08994,-0.16166,-0.24021,-0.31233,-0.39468,-0.47686,-0.55896,-0.63893,-0.7096,-0.74419,-0.77333,-0.79835,-0.83722,-0.88518,-0.97875,-1.01754,-1.06471,-1.11313,-1.21153,-1.28618,-1.48973,-1.69144,0.29126,0.29251,0.97458,0.79168,0.59241,0.4498,0.35915,0.27757,0.21508,0.15646,0.03433,-0.0562,-0.12053,-0.17515,-0.22187,-0.25491,-0.25059,-0.22867,-0.19847,-0.16765,-0.13566,-0.10743,-0.0491,-0.00532,0.02605,0.02296,0.10945,0.18714
5.5,0.17798,0.11213,0.04175,-0.02118,-0.08857,-0.16115,-0.24115,-0.31504,-0.39945,-0.48449,-0.5695,-0.65244,-0.72521,-0.76104,-0.79074,-0.81979,-0.86837,-0.9293,-1.03151,-1.07993,-1.14139,-1.19647,-1.31071,-1.39446,-1.64546,-1.90206,0.13702,0.13813,0.99067,0.83457,0.64061,0.49788,0.40596,0.32127,0.2567,0.19481,0.06842,-0.02631,-0.09481,-0.15183,-0.20137,-0.23697,-0.23543,-0.21609,-0.18807,-0.15907,-0.12748,-0.09955,-0.05783,-0.00639,0.02459,0.02085,0.10245,0.17798
6.0,0.16758,0.10645,0.04104,-0.02068,-0.0878,-0.16108,-0.24192,-0.31878,-0.40492,-0.49194,-0.58007,-0.66682,-0.74321,-0.78374,-0.8181,-0.85057,-0.89987,-0.96886,-1.08158,-1.12661,-1.20869,-1.28626,-1.42718,-1.51185,-1.80505,-2.1237,-0.0336,-0.03382,0.99873,0.87298,0.68655,0.54451,0.45184,0.3645,0.29812,0.23296,0.10256,0.00405,-0.06841,-0.12781,-0.18004,-0.21812,-0.21933,-0.20248,-0.17673,-0.14965,-0.11889,-0.09075,-0.05766,-0.00729,0.02371,0.01982,0.09675,0.16758
6.5,0.1584,0.10146,0.04049,-0.02019,-0.08699,-0.16029,-0.24235,-0.32127,-0.409,-0.49854,-0.58927,-0.67841,-0.75875,-0.80357,-0.84266,-0.8806,-0.9364,-1.01074,-1.13489,-1.18075,-1.24995,-1.38516,-1.52787,-1.63459,-1.97205,-2.34786,-0.21708,-0.21749,0.99993,0.90588,0.72895,0.58862,0.49584,0.40626,0.33836,0.27042,0.13667,0.03461,-0.0416,-0.10305,-0.15774,-0.19815,-0.202,-0.18754,-0.16404,-0.13897,-0.10921,-0.08093,-0.05272,-0.00889,0.02385,0.02031,0.09378,0.1584
7.0,0.14631,0.09439,0.03872,-0.01996,-0.08681,-0.16097,-0.2437,-0.32432,-0.41368,-0.50621,-0.60006,-0.69248,-0.77599,-0.82505,-0.86912,-0.91288,-0.97545,-1.06045,-1.19611,-1.2464,-1.30804,-1.53572,-1.66398,-1.76412,-2.15084,-2.59343,-0.42729,-0.42755,0.99665,0.93504,0.76997,0.6322,0.5396,0.44812,0.37888,0.30806,0.17102,0.06536,-0.01465,-0.07829,-0.13562,-0.17838,-0.18486,-0.17289,-0.15173,-0.12873,-0.10036,-0.07223,-0.046,-0.01494,0.02288,0.01831,0.0904,0.14631
7.5,0.1321,0.08606,0.0366,-0.0196,-0.08572,-0.15945,-0.24282,-0.32541,-0.4168,-0.51185,-0.60821,-0.70416,-0.79125,-0.84424,-0.89326,-0.94258,-1.01211,-1.10713,-1.25892,-1.316,-1.38411,-1.3854,-1.74833,-1.91957,-2.33074,-2.83256,-0.64794,-0.64859,0.98599,0.95847,0.8071,0.67291,0.58103,0.48816,0.4178,0.34456,0.20479,0.09581,0.01218,-0.05341,-0.11337,-0.15832,-0.16742,-0.1579,-0.13908,-0.11825,-0.09145,-0.06388,-0.03793,-0.0165,0.02228,0.01175,0.08533,0.1321
8.0,0.11512,0.07541,0.03265,-0.02056,-0.0847,-0.15779,-0.24197,-0.32609,-0.41932,-0.51668,-0.61587,-0.71492,-0.80573,-0.86364,-0.91643,-0.97116,-1.04761,-1.15236,-1.32022,-1.38491,-1.46531,-1.49542,-1.7143,-2.11181,-2.51846,-3.06825,-0.87798,-0.8788,0.96788,0.97604,0.83981,0.70981,0.61907,0.52518,0.45408,0.37857,0.23634,0.12426,0.03721,-0.03027,-0.09261,-0.13971,-0.15138,-0.14418,-0.12762,-0.10891,-0.08374,-0.05713,-0.03109,-0.0132,0.01889,0.003,0.07037,0.11512
8.5,0.0943,0.06141,0.02587,-0.02315,-0.0849,-0.15721,-0.24091,-0.3268,-0.42184,-0.52171,-0.62394,-0.72622,-0.821,-0.88294,-0.94096,-1.0009,-1.08435,-1.19997,-1.38462,-1.45753,-1.55176,-1.62132,-1.84942,-2.1816,-2.76841,-3.32154,-1.1333,-1.13434,0.94106,0.98922,0.87083,0.74617,0.65712,0.56272,0.49104,0.41348,0.2691,0.15417,0.06383,-0.00552,-0.07013,-0.1194,-0.1335,-0.12875,-0.1145,-0.09799,-0.07457,-0.04919,-0.02333,-0.00713,0.01391,0.00195,0.05273,0.0943
9.0,0.06949,0.04345,0.01514,-0.02946,-0.0882,-0.15816,-0.24165,-0.32863,-0.42495,-0.52751,-0.63243,-0.73873,-0.8369,-0.90409,-0.96638,-1.03203,-1.12283,-1.2492,-1.45074,-1.53117,-1.63722,-1.73204,-1.97634,-2.24985,-3.01921,-3.59271,-1.41292,-1.41446,0.90479,0.99713,0.89913,0.78099,0.69421,0.5997,0.52773,0.44832,0.30229,0.18456,0.09115,0.02007,-0.04681,-0.09812,-0.11474,-0.11236,-0.10033,-0.08592,-0.06438,-0.04045,-0.01528,0.0002,0.01672,0.00326,0.0475,0.06949
9.5,0.04615,0.02591,0.00372,-0.0346,-0.08801,-0.15434,-0.23615,-0.32425,-0.42201,-0.52742,-0.6355,-0.74495,-0.84739,-0.91899,-0.98651,-1.05797,-1.15556,-1.29206,-1.50943,-1.59755,-1.7123,-1.82667,-2.08734,-2.36813,-3.27585,-3.8287,-1.68211,-1.68441,0.86397,0.99953,0.92192,0.81047,0.72628,0.63208,0.56009,0.47917,0.33168,0.21165,0.11522,0.0425,-0.02661,-0.08008,-0.09898,-0.09889,-0.08914,-0.07695,-0.05732,-0.03501,-0.01084,0.00367,0.0196,-0.0004,0.04154,0.04615
10.0,0.01996,0.00647,-0.00856,-0.04033,-0.086,-0.14692,-0.22538,-0.31309,-0.41199,-0.51984,-0.63118,-0.74477,-0.8507,-0.92756,-0.99994,-1.07702,-1.18145,-1.32795,-1.55998,-1.65475,-1.77828,-1.90761,-2.18107,-2.45921,-3.54217,-4.03333,-1.93673,-1.93885,0.82106,0.99912,0.94009,0.83529,0.75364,0.66001,0.58815,0.50594,0.35727,0.23493,0.13578,0.06127,-0.01007,-0.06559,-0.08688,-0.08912,-0.08159,-0.07166,-0.05404,-0.03341,-0.0107,0.00226,0.01713,-0.00548,0.02803,0.01996
11.0,-0.04351,-0.04726,-0.05198,-0.06831,-0.09584,-0.13768,-0.19981,-0.28067,-0.37896,-0.49165,-0.61032,-0.73175,-0.84692,-0.93484,-1.01767,-1.10747,-1.22562,-1.39017,-1.65164,-1.75913,-1.89983,-2.05413,-2.35786,-2.66276,-3.93468,-4.498,-2.447,-2.44957,0.72378,0.99025,0.96776,0.87735,0.80177,0.70999,0.63885,0.55466,0.40453,0.27817,0.17391,0.09629,0.02061,-0.0389,-0.06484,-0.0716,-0.0686,-0.0631,-0.04961,-0.03277,-0.0137,-0.00537,0.00417,-0.0198,-0.00397,-0.04351
12.0,-0.12499,-0.12235,-0.12029,-0.12725,-0.13926,-0.15624,-0.1856,-0.23591,-0.31588,-0.42622,-0.55099,-0.68376,-0.81021,-0.91262,-1.00926,-1.11236,-1.24528,-1.4289,-1.71611,-1.83561,-1.99146,-2.16872,-2.49537,-2.8144,-4.23052,-4.83778,-2.91498,-2.91797,0.62206,0.97206,0.98521,0.90946,0.8401,0.75108,0.68116,0.59584,0.44479,0.31517,0.20635,0.1256,0.04587,-0.01767,-0.04826,-0.05956,-0.06102,-0.06022,-0.05106,-0.03833,-0.02369,-0.02068,-0.01803,-0.04171,-0.04774,-0.12499
13.0,-0.22197,-0.21192,-0.202,-0.20104,-0.20673,-0.21559,-0.22819,-0.24368,-0.27907,-0.35288,-0.46196,-0.5971,-0.73529,-0.8555,-0.96834,-1.08784,-1.23671,-1.43985,-1.75287,-1.88287,-2.0538,-2.24741,-2.59615,-2.93548,-4.47214,-5.13326,-3.34264,-3.34614,0.51918,0.94735,0.99524,0.93406,0.87128,0.78561,0.71735,0.63139,0.48035,0.34806,0.23528,0.15162,0.0681,0.00063,-0.03431,-0.0501,-0.05588,-0.05971,-0.05486,-0.04621,-0.03615,-0.03854,-0.04275,-0.06536,-0.09436,-0.22197
14.0,-0.30138,-0.29433,-0.28762,-0.28272,-0.28456,-0.28984,-0.29794,-0.30226,-0.30908,-0.33281,-0.38844,-0.49539,-0.63206,-0.76942,-0.89988,-1.03716,-1.20282,-1.42405,-1.75986,-1.90014,-2.08233,-2.28171,-2.65573,-2.99924,-4.7812,-5.33601,-3.70261,-3.70649,0.42323,0.91995,0.99949,0.95178,0.89543,0.8134,0.74705,0.66102,0.51051,0.37622,0.26015,0.17405,0.08719,0.01624,-0.02276,-0.04242,-0.05211,-0.06007,-0.05911,-0.05405,-0.04813,-0.05517,-0.06567,-0.08705,-0.13604,-0.30138
